# Easting, Northing, M_plot
480436,139989,1
480430,139987,0
480424,139984,0
480418,139982,0
480412,139979,0
480406,139977,0
480400,139974,0
480394,139972,0
480388,139969,0
480382,139967,0
480376,139964,0
480370,139962,0
480364,139960,0
480358,139957,0
480352,139955,0
480346,139952,0
480340,139950,0
480334,139947,0
480328,139945,0
480322,139942,0
480316,139940,0
480310,139937,0
480304,139935,1
480299,139929,0
480294,139923,0
480290,139917,0
480285,139911,0
480280,139905,0
480275,139899,0
480270,139893,0
480266,139887,0
480261,139881,0
480256,139875,0
480251,139870,0
480246,139864,0
480242,139858,0
480237,139852,0
480232,139846,0
480227,139840,0
480222,139834,0
480218,139828,0
480213,139822,0
480208,139816,1
480202,139818,0
480196,139819,0
480190,139821,0
480184,139823,0
480178,139824,0
480172,139826,0
480166,139828,0
480160,139829,0
480154,139831,0
480148,139832,0
480141,139834,0
480135,139836,0
480129,139837,0
480123,139839,0
480117,139841,0
480111,139842,0
480105,139844,0
480099,139846,0
480093,139847,0
480087,139849,1
480087,139858,0
480087,139867,0
480087,139876,0
480087,139885,0
480081,139885,0
480075,139885,0
480068,139885,0
480062,139885,0
480056,139885,0
480050,139885,0
480044,139885,0
480037,139885,0
480031,139885,0
480025,139885,0
480019,139885,0
480013,139885,0
480007,139885,0
480000,139885,0
479994,139885,0
479988,139885,0
479982,139885,0
479976,139885,0
479969,139885,0
479963,139885,0
479957,139885,1
479951,139885,0
479945,139886,0
479938,139886,0
479932,139886,0
479926,139887,0
479920,139887,0
479914,139887,0
479907,139888,0
479901,139888,0
479895,139888,0
479889,139889,0
479883,139889,0
479876,139890,0
479870,139890,0
479864,139890,0
479858,139891,0
479852,139891,0
479845,139891,0
479839,139892,0
479833,139892,1
479834,139883,0
479835,139874,0
479835,139865,0
479836,139856,0
479837,139847,0
479838,139838,0
479838,139829,0
479839,139820,1
479843,139812,0
479846,139804,0
479850,139796,0
479853,139788,0
479857,139781,0
479860,139773,0
479864,139765,0
479867,139757,1
479861,139756,0
479855,139755,0
479849,139754,0
479842,139753,0
479836,139752,0
479830,139751,0
479824,139749,0
479818,139748,0
479812,139747,0
479806,139746,0
479800,139745,0
479793,139744,0
479787,139743,0
479781,139742,0
479775,139741,0
479769,139740,0
479763,139739,0
479757,139738,0
479751,139736,0
479744,139735,0
479738,139734,0
479732,139733,0
479726,139732,0
479720,139731,0
479714,139730,0
479708,139729,0
479701,139728,0
479695,139727,0
479689,139726,0
479683,139725,0
479677,139724,0
479671,139722,0
479665,139721,0
479659,139720,0
479652,139719,0
479646,139718,0
479640,139717,0
479634,139716,1
479628,139716,0
479622,139716,0
479615,139716,0
479609,139716,0
479603,139716,0
479597,139717,0
479590,139717,0
479584,139717,0
479578,139717,0
479572,139717,0
479566,139717,0
479559,139717,0
479553,139717,0
479547,139717,0
479541,139717,0
479535,139717,0
479528,139717,0
479522,139718,0
479516,139718,0
479510,139718,0
479503,139718,0
479497,139718,0
479491,139718,1
479491,139728,0
479492,139737,0
479492,139747,0
479493,139757,0
479493,139766,0
479493,139776,0
479494,139786,0
479494,139795,0
479495,139805,0
479495,139815,0
479495,139824,0
479496,139834,0
479496,139843,0
479496,139853,0
479497,139863,0
479497,139872,0
479498,139882,0
479498,139892,0
479498,139901,0
479499,139911,0
479499,139921,0
479500,139930,0
479500,139940,1
479503,139948,0
479506,139956,0
479509,139964,0
479512,139972,0
479515,139980,0
479518,139988,0
479522,139995,0
479525,140003,0
479528,140011,0
479531,140019,0
479534,140027,0
479537,140035,0
479540,140043,0
479543,140051,1
479549,140052,0
479555,140053,0
479562,140054,0
479568,140055,0
479574,140056,0
479580,140057,0
479586,140058,0
